,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
118,Convolvulus arvensis,,659.9806184,,,1.704583347,01-Oct,,42.2075,12.971254,1.39,,,,,9.6,simple,184.1824101,,36,,5.47,,aestival,,0.389,,,,entire,pointed,1-3 times as long as wide,cordate,petiolate,0.220707916,183.9793282,,,4.429400123,81.58175899,,,
119,Ludwigia palustris,,655.0741952,,,1.956944466,01-Oct,,,,,,,,,,simple,185.355,,,,,,,,,submerged,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,4.396471109,81.4645,,,
120,Polygala serpyllifolia,,649.3416094,,,2.08819437,01-Oct,,,,,,,,,,simple,187.635,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,4.357997378,81.2365,,,
121,Potamogeton perfoliatus,,638.8595601,,,0.690763898,01-Oct,,,,,,,,,,simple,189.12,,,,,,aestival,,0.322,submerged,,,entire,rounded,1-3 times as long as wide,cordate,clasping,,,,,4.287648054,81.088,,,
122,Lolium perenne,,644.5624839,,,1.632500053,01-Oct,,44.871,18.80216093,,,,,,,simple,189.334821,,2.52,,3.27,,evergreen,,0.44,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.225,452.434562,,,4.283103744,81.06651791,,,
123,Persicaria minor,,625.7907025,,,1.616250038,01-Oct,,,,,,,,,,simple,192.31,,,,,,,,,,,,entire,rounded,>3 times as long as wide,truncate,sessile,,,,,4.199937601,80.769,,,
124,Holcus lanatus,,624.8302211,,,1.632500053,01-Oct,,44.368,18.11611757,,,,,,,simple,192.548696,,3.24,,2.71,,semi-evergreen,,0.33,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.221,311.4320425,,,4.193491417,80.7451304,,,
125,Polygala amarella,,618.4478496,,,2.444722176,01-Oct,,,,,,,,,,simple,194.15,,,,,0.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,,,,,4.150656709,80.585,,,
126,Antennaria dioica,,616.0336134,,,1.338055491,01-Oct,,46.7,26.23595506,0.73,,,,,3.53,simple,194.8963318,,,,0.95,0.0,,,,,,11.9947,entire,pointed,1-3 times as long as wide,cuneate,sessile,,,,,4.134453781,80.51036683,,,
127,Polygala calcarea,,602.424681,,,1.736805558,01-Oct,,23.35,,,,,,,,simple,198.29,,,,,0.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,0.272,189.99848,,,4.043118665,80.171,,,
128,Linaria vulgaris,,600.5151515,,,1.6161111,01-Oct,,,,,,,,,,simple,198.8023952,,,,1.41977516,,semi-evergreen,,0.146,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,4.03030303,80.11976048,,,
129,Pilosella officinarum,,582.7437723,,,1.338055491,01-Oct,,46.1,27.44047619,,,,,,,simple,203.6231884,,>24,,1.68,,evergreen,,0.15,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,0.316,193.4325771,,,3.911032029,79.63768116,,,
130,Cephalanthera longifolia,,571.591687,,,1.832499981,01-Oct,,46.55657,16.34879004,,,,,,,simple,206.7745197,,,,2.721536333,,,,,,,,entire,pointed,>3 times as long as wide,truncate,sessile,,,,,3.836185819,79.32254803,,,
131,Myosotis ramosissima,,566.6923964,,,1.736805558,01-Oct,,14.49,,,,,,,,simple,208.19,,,,,,hibernal,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,0.244,193.684341,,,3.803304674,79.181,,,
132,Epipactis atrorubens,,564.4306919,,,1.822361112,01-Oct,,,,1.545,,,,,6.935,simple,208.85,,,,3.677,0.0,,,,,,,entire,pointed,1-3 times as long as wide,rounded,sheathing,0.405,133.0927744,,,3.788125449,79.115,,,
133,Jasione montana,,544.4102755,,,0.964166641,01-Oct,,,,,,,,,,simple,214.88,,Dec-24,,Oct-20,,evergreen,,02-Mar,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,3.653760238,78.512,,,
134,Galium boreale,,537.8891757,,,0.865694404,01-Oct,,43.108,21.5905237,1.64,,,,,8.41,simple,216.92,,36,,2.19,,,,0.196,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,0.21,221.1873214,,,3.609994468,78.308,,,
135,Lotus corniculatus,,537.6359447,,,1.674722195,01-Oct,,45.529,13.34803563,,,,,,,compound,217.0,,4.92,,3.61,,aestival,,0.13,,,,entire,pointed,length = width,cuneate,petiolate,0.23,216.7189406,,,3.608294931,78.3,,,
136,Symphyotrichum novae-angliae,,534.5633371,,,1.557500005,01-Oct,,,,,,,,,,simple,217.9759081,,,,2.41,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,clasping,,,,,3.587673404,78.20240919,,,
137,Lythrum salicaria,,521.7617239,,,1.914722204,01-Oct,,44.95443717,32.42071148,,,,,,,simple,222.1418162,,,,2.754394811,,aestival,,0.168306802,,,,entire,pointed,>3 times as long as wide,cordate,sessile,,,,,3.501756536,77.78581839,,,
138,Silene otites,,512.7044215,,,,01-Oct,,,,,,,,,,simple,225.27,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,3.440969272,77.473,,,
139,Daphne mezereum,,503.1281553,,,1.632638931,01-Oct,,,,,,,,,16.7,simple,228.4826974,,,,2.526666667,5.0,aestival,,0.304,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,3.376699029,77.15173026,,,
140,Polygala vulgaris,,534.379224,,,2.431666613,01-Oct,,49.6,17.10344828,,,,,,,simple,233.2921323,,,,2.9,,evergreen,,02-Mar,,,,entire,pointed,1-3 times as long as wide,cuneate,sessile,0.165,234.3103364,,,3.586437745,76.67078677,,,
141,Euphorbia amygdaloides,,485.6883204,,,1.768472195,01-Oct,,46.66748,16.62035683,,,,,,,simple,234.7617162,,,,2.807850667,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,truncate,petiolate,,,,,3.259653157,76.52382838,,,
142,Prunella vulgaris,,479.8471822,,,1.604027748,01-Oct,,46.275,21.3445572,,,,,,,simple,238.393704,,18,,2.2,,evergreen,,0.1758,,,,entire,pointed,1-3 times as long as wide,rounded,petiolate,0.18,300.0,,,3.220450887,76.1606296,,,
143,Vicia sativa,,470.0535544,,,1.555694461,01-Oct,,47.8,9.324997433,,,,,,,compound,240.69,,,,4.815,,hibernal,,0.264,,,,entire,rounded,>3 times as long as wide,,subsessile,0.15,331.54464,,,3.154721841,75.931,,,
144,Hippocrepis comosa,,468.5141945,,,2.015277863,01-Oct,,,,,,,,,,compound,241.29,,,,>30,,evergreen,,01-Feb,,,,entire,emarginate,>3 times as long as wide,cuneate,petiolate,0.304,216.2704592,,,3.144390567,75.871,,,
145,Trisetum flavescens,,464.0927318,,,2.101249933,01-Oct,,45.74,21.88516746,,,,,,,simple,243.0301197,,,,1.31,,evergreen,,0.1287,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,3.114716321,75.69698803,,,
146,Hypericum elodes,,463.8912838,,,1.511250019,01-Oct,,,,,,,,,,simple,243.11,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,,sessile,,,,,3.113364321,75.689,,,
147,Trifolium pratense,,462.1870018,,,1.559305549,01-Oct,,47.5,12.61644592,2.34,,,,,10.2,compound,243.7898939,,,,4.717068949,200.0,evergreen,,0.045,,,,entire,pointed,length = width,cuneate,petiolate,0.17387056,257.1551539,,,3.101926187,75.62101061,,,
148,Inula salicina,,454.9466667,,,1.338055491,01-Oct,,,,,,,,,,simple,246.7105263,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cordate,clasping,,,,,3.053333334,75.32894737,,,
149,Cytisus scoparius,,449.2585449,,,,01-Oct,,,,,,,,,,compound,249.056213,,,,2.92,,semi-evergreen,,0.117,,,,entire,pointed,length = width,cuneate,petiolate,,,,,3.015158019,75.0943787,,,
150,Hordeum marinum,,,,,1.392500043,01-Oct,,35.38,18.2371134,,,,,,,simple,250.60241,,,,1.94,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.99038461,74.939759,,,
151,Colutea arborescens,,440.5619831,,,1.296666622,01-Oct,,,,,,,,,,compound,252.73,,,,,,aestival,,,,,,entire,rounded,>3 times as long as wide,,petiolate,,,,,2.956791833,74.727,,,
152,Poa trivialis,,439.1761907,,,1.581111073,01-Oct,,42.88219866,14.12070466,,,,,,,simple,254.4557041,,,,2.966666667,,evergreen,,0.364015456,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.947491213,74.5544296,,,
153,Agrostis capillaris,,428.1412336,,,1.632500053,01-Oct,,45.18634283,17.28924627,,,,,,,simple,258.2031737,,3.24,,2.21,,evergreen,,01-Feb,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.873431098,74.17968263,,,
154,Carex ornithopoda,,422.9677419,,,1.338055491,01-Oct,,,,,,,,,,simple,260.5042017,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.838709677,73.94957983,,,
155,Melica uniflora,,403.1524027,,,1.817638874,01-Oct,,45.57763833,16.90472558,,,,,,,simple,269.8550242,,,,1.903921333,0.0,aestival,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.705720824,73.01449758,,,
156,Gastridium ventricosum,,,,,1.392500043,01-Oct,,43.39,60.06153846,,,,,,,simple,271.707029,,02-Jun,,0.65,,hibernal,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.680434782,72.8292971,,,
157,Polygonum aviculare,,396.7875458,,,1.429861069,01-Oct,,44.9995,15.90165776,1.41,,,,,3.79,simple,273.0,,,,2.849,4.0,aestival,,0.286,,,,entire,pointed,>3 times as long as wide,cuneate,subsessile,0.16,590.0,,,2.663003663,72.7,,,
158,Sesleria caerulea,,395.9726027,,,1.338055491,01-Oct,,44.07,27.64058271,,,,,,,simple,273.4082397,,06-Dec,,1.33,,semi-evergreen,,0.1031,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.657534247,72.65917603,,,
159,Viscum album,,395.4712417,,,,01-Oct,,,,,,,,,,simple,273.66,,,,,5.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,2.654169407,72.634,,,
160,Bupleurum falcatum,,393.3979401,,,1.559305549,01-Oct,,45.64933667,28.05907469,,,,,,,simple,274.7081044,,,,1.626901,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,2.640254632,72.52918956,,,
161,Briza media,,387.363225,,,1.338055491,01-Oct,,45.575,25.55366269,,,,,,,simple,277.8156297,,4.92,,1.66,,evergreen,,0.11,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.157,299.878849,,,2.599753188,72.21843704,,,
162,Poa alpina,,377.5203717,,,1.355000019,01-Oct,,,,1.193548387,,,3.6,,4.246774194,simple,282.99,,18,,2.861,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.125,256.0008738,,,2.53369377,71.701,,,
163,Carex montana,,376.313778,,,1.904305577,01-Oct,,,,,,,,,,simple,283.64,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.525595826,71.636,,,
164,Campanula rotundifolia,,376.5586505,,,0.945416689,01-Oct,,48.9,20.63291139,,,,,,,simple,283.65,,02-Jun,,2.37,,evergreen,,01-Feb,,,,entire,pointed,>3 times as long as wide,cordate,petiolate,0.23,165.4936335,,,2.527239265,71.635,,,
165,Valerianella dentata,,365.1299472,,,2.013333321,01-Oct,,,,,,,,,,simple,289.81,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,cuneate,sessile,,,,,2.450536558,71.019,,,
166,Carex appropinquata,,359.5497799,,,2.195138931,01-Oct,,,,,,,,,,simple,292.99,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.413085771,70.701,,,
167,Cynodon dactylon,,359.3242358,,,1.103888869,01-Oct,,44.4255,15.44858414,,,,,,,simple,293.12,,,,2.829,,,,0.333,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.08,680.0,,,2.411572052,70.688,,,
168,Blysmus compressus,,357.0110032,,,1.516388893,01-Oct,,,,,,,,,,simple,294.46,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,2.396047001,70.554,,,
169,Carex atrata,,353.749941,,,,01-Oct,,,,,,,,,,simple,296.37,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.374160678,70.363,,,
170,Salix viminalis,,347.2479354,,,1.566388845,01-Oct,,49.8181456,17.27188418,,,,,,,simple,300.2531383,,6,,2.884349216,7.5,aestival,,0.410043123,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,2.330523057,69.97468617,,,
171,Carex distans,,350.8360308,,,,01-Oct,,,,,,,,,,simple,300.67,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.354604234,69.933,,,
172,Carex extensa,,314.8421069,,,,01-Oct,,,,,,,,,,simple,321.23,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.113034275,67.877,,,
173,Agrostis stolonifera,,304.0659482,,,1.557500005,01-Oct,,45.16809409,14.58939097,,,,,,,simple,329.0769537,,,,3.393333333,,evergreen,,0.404846635,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.1655,800.496673,,,2.040711062,67.09230463,,,
174,Euphorbia esula,,299.0419574,,,1.111944437,01-Oct,,44.59666667,21.428705,,,,,,,simple,332.55814,,,,1.84,0.0,,,0.122115433,,,,entire,mucronate,>3 times as long as wide,cuneate,sessile,,,,,2.006993003,66.744186,,,
175,Phleum phleoides,,298.2728364,,,1.36722219,01-Oct,,49.43,33.62585034,,,,,,5.514705882,simple,333.13,,36,,1.47,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.136,320.0,,,2.001831117,66.687,,,
176,Rhynchospora alba,,297.9240229,,,1.830694437,01-Oct,,,,,,,,,,simple,333.39,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.999490087,66.661,,,
177,Carex lasiocarpa,,296.4276404,,,1.777986169,01-Oct,,,,,,,,,,simple,334.51,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.989447251,66.549,,,
178,Carex saxatilis,,296.4300263,,,,01-Oct,,54.31827657,18.74449857,,,,,,,simple,334.53,,,,2.897825,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.446,138.4288554,,,1.989463264,66.547,,,
179,Carex atrofusca,,290.4237285,,,1.119722247,01-Oct,,44.44333333,16.87866053,,,,,,,simple,339.08046,,,,3.216666667,0.0,,,0.082172658,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.94915254,66.091954,,,
180,Agrostis vinealis,,293.225169,,,1.042847216,01-Oct,,44.74333334,17.95551888,,,,,,,simple,339.145246,,36,,2.186666667,0.0,evergreen,,0.093735615,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.967954154,66.0854754,,,
181,Hypericum perforatum,,285.7345214,,,1.830416679,01-Oct,,48.64346333,22.28699552,,,,,,,simple,342.7399352,,36,,2.23,,semi-evergreen,,,,,,entire,rounded,1-3 times as long as wide,cuneate,sessile,0.12,325.1342946,,,1.917681351,65.72600648,,,
182,Carex chordorrhiza,,279.0256241,,,,01-Oct,,,,,,,,,,simple,348.11,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.872655195,65.189,,,
183,Carex hostiana,,277.9340974,,,1.795416713,01-Oct,,,,,,,,,,simple,349.0,,,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.865329513,65.1,,,
184,Anthoxanthum odoratum,,276.7142857,,,1.662222266,01-Oct,,46.316,19.00684932,,,,,,,simple,350.0,,3.24,,2.09,,evergreen,,<1,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.857142857,65.0,,,
185,Frangula alnus,,272.0361326,,,1.178402781,01-Oct,,44.5465,18.9353868,,,,,,,simple,353.8888672,,02-Jun,,2.85,6.0,aestival,,0.173666667,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,1.825745856,64.61111328,,,
186,Carex pauciflora,,269.5510829,,,2.440694332,01-Oct,,,,,,,,,,simple,355.99,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.80906767,64.401,,,
187,Carex flacca,,266.8062176,,,1.632500053,01-Oct,,47.41711372,23.9360676,,,,,,,simple,358.34,,9,,1.84,,evergreen,,0.14,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.245,217.4538887,,,1.790645755,64.166,,,
188,Salix reticulata,,266.2384137,,,,01-Oct,,53.1149515,28.3949863,1.230645161,,,3.3,,4.9,simple,358.83,,3.24,,1.870575,6.0,aestival,,0.094,,,10.7321,entire,rounded,1-3 times as long as wide,truncate,petiolate,0.34,351.1354082,,,1.786834992,64.117,,,
189,Leersia oryzoides,,265.2439556,,,1.648402751,01-Oct,,37.881,23.09817073,,,,,,,simple,359.7154389,,,,1.823058,0.0,,,,,,43.524,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.1,600.0,,,1.780160776,64.02845611,,,
190,Carex echinata,,250.0538876,,,1.978055596,01-Oct,,,,,,,,,,simple,373.3831561,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.678214011,62.66168439,,,
191,Salix lapponum,,249.0764093,,,1.494097233,01-Oct,,53.17883356,21.69369268,,,,,,,simple,374.3,,,,2.45135,5.5,aestival,,0.188,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,0.231,371.2094004,,,1.671653754,62.57,,,
192,Carex bigelowii,,246.3303264,,,0.839583337,01-Oct,,46.755,21.39941349,1.666666667,,,3.1,,5.520833333,simple,376.9,,,,2.09,0.0,,,0.14,,,8.8382,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.653223667,62.31,,,
193,Ligustrum vulgare,,246.2992987,,,0.931111097,01-Oct,,49.07545785,26.93865057,,,,,,,simple,376.932887,,,,1.58,5.0,semi-evergreen,,0.107,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,1.653015428,62.3067113,,,
194,Phleum alpinum,,245.7961103,,,1.263194442,01-Oct,,50.40198868,15.9817323,,,,,,,simple,377.41,,,,3.153725,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.188,193.2507655,,,1.649638324,62.259,,,
195,Poa palustris,,245.0339557,,,,01-Oct,,,,,,,,,,simple,378.14,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.644523193,62.186,,,
196,Carex nigra,,240.2371996,,,1.631111145,01-Oct,,48.1,21.18942731,,,,,,,simple,382.8,,,,2.27,,semi-evergreen,,01-Feb,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.612330199,61.72,,,
197,Koeleria macrantha,,228.5144231,,,1.359861136,01-Oct,,43.234,29.60573477,0.104,4.8,,1.729201013,2.86,7.66,simple,394.686907,,4.08,,Oct-20,,evergreen,,01-Feb,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.32,262.1534981,,,1.533653846,60.5313093,,,
198,Buxus sempervirens,,224.0901948,,,1.55138886,01-Oct,,,,,,,,,,simple,399.3676448,,,,1.86,1.5,evergreen,,0.102,,,,entire,emarginate,1-3 times as long as wide,cuneate,petiolate,,,,,1.503961039,60.06323552,,,
199,Juncus squarrosus,,222.9328025,,,0.964166641,01-Oct,,,,,,,,,,simple,400.61,>2.0,,,Oct-20,,evergreen,,01-Feb,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.496193305,59.939,,,
200,Carex humilis,,198.303156,,,1.891319454,01-Oct,,15.78,,,,,,,,simple,429.02,,Dec-24,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.182,418.4695731,,,1.330893665,57.098,,,
201,Vaccinium uliginosum,,197.7705293,,,1.281527758,01-Oct,,57.89443866,26.91982036,0.665,,,2.9,,2.71,simple,429.945,,3,,1.9,,aestival,,0.237,,,11.9947,entire,rounded,1-3 times as long as wide,cuneate,petiolate,0.18,384.3689942,,,1.327318988,57.0055,,,
202,Nardus stricta,,161.8375926,,,1.533333302,01-Oct,,45.96066896,31.03690075,,,,,,,simple,479.35,,,,1.48,,evergreen,,0.1,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.086158339,52.065,,,
203,Elymus athericus,,149.0,,,,01-Oct,,,,,,,,,,simple,500.0,,,,Oct-20,,,,01-Feb,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.0,50.0,,,
204,Plantago media,,138.5334008,,,1.54347229,01-Oct,,,,1.4,2.9,,1.5,2.05,5.1,simple,518.2006667,,,,2.68388775,25.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,0.929754368,48.17993333,,,
205,Hordeum murinum,,,,,0.784444451,01-Oct,,43.1647,10.3011,,,,,,,simple,,,,,3.05,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.172,343.8188065,,,,,,,
206,Eriophorum vaginatum,,,,,0.839583337,01-Oct,,,,,,,,,,simple,,,5.76,,2.1,,semi-evergreen,,0.17,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
207,Dasiphora fruticosa,,,,,0.868888855,01-Oct,,,,1.37,,,,,3.8,compound,,,06-Dec,,2.03,5.0,aestival,,0.271,,,,entire,pointed,length = width,cuneate,petiolate,,,,,,,,,
208,Carex divisa,,,,,0.964166641,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
209,Ornithogalum umbellatum,,,,,0.964166641,01-Oct,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
210,Vicia lathyroides,,,,,0.964166641,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,entire,rounded,>3 times as long as wide,,subsessile,,,,,,,,,
211,Vicia lutea,,,,,0.964166641,01-Oct,,,,,,,,,,compound,,,,,,,,,,,,,entire,rounded,>3 times as long as wide,,subsessile,,,,,,,,,
212,Silene gallica,,,,,1.179305553,01-Oct,,37.936,24.25575448,,,,,,,simple,,,,,1.564,,,,0.252,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.349,166.786178,,,,,,,
213,Juncus articulatus,,,,,1.191666663,01-Oct,,43.11976373,21.31459504,,,,,,,simple,,,,,2.2523,,evergreen,,0.169802719,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
214,Carex binervis,,,,,1.212361097,01-Oct,,47.89,27.95680093,,,,,,,simple,,,,,1.713,0.0,evergreen,,0.1923,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
215,Ficaria verna,,,,,1.212361097,01-Oct,,43.08,18.4496788,,,,,,,simple,,,,,3.3,,vernal,,0.6,,,,entire,rounded,length = width,cordate,petiolate,,,,,,,,,
216,Myosotis arvensis,,,,,1.212361097,01-Oct,,,,,,,,,,simple,,,,,,,hibernal,,,,,,entire,rounded,>3 times as long as wide,,sessile,,,,,,,,,
217,Stellaria media,,,,,1.269861102,01-Oct,,43.0995,16.03165916,,,,,,,simple,,,,,3.95,,semi-evergreen,,0.47963384,,,,entire,pointed,1-3 times as long as wide,truncate,petiolate,0.2,127.8195489,,,,,,,
218,Oxyria digyna,,,,,1.271388888,01-Oct,,,,1.4,,,3.0,,7.5,simple,,,0-2,,4.55,,,,,,,38.5093,entire,rounded,length = width,cordate,petiolate,0.37,,,,,,,,
219,Carex caryophyllea,,,,,1.435833335,01-Oct,,49.75083334,23.73589356,0.96,,,,,3.05,simple,,,36,,Oct-20,,evergreen,,<1,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
220,Agrostis canina,,,,,1.533333302,01-Oct,,43.669,20.60600194,,,,,,,simple,,,,,2.118,0.0,evergreen,,0.2193,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
221,Cardamine pratensis,,,,,1.533333302,01-Oct,,,,1.095238095,,,3.3,,4.619047619,compound,,,,,,,evergreen,,,,,,entire,rounded,>3 times as long as wide,,petiolate,,,,,,,,,
222,Carex leporina,,,,,1.533333302,01-Oct,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
223,Carex pallescens,,,,,1.533333302,01-Oct,,45.4,25.22222222,,,,,,,simple,,,,,1.8,,evergreen,,0.225,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
224,Carex pilulifera,,,,,1.533333302,01-Oct,,47.9024743,25.08513625,,,,,,,simple,,,,,1.56,0.0,evergreen,,0.21563694,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
225,Epilobium palustre,,,,,1.533333302,01-Oct,,42.26,28.01458402,,,,,,,simple,,,,,1.5085,1.0,aestival,,0.3538,,,,entire,pointed,>3 times as long as wide,cuneate,subsessile,,,,,,,,,
226,Lathyrus pratensis,,,,,1.533333302,01-Oct,,47.3825,12.06260505,1.79,,,,,7.99,compound,,,,,4.861975132,,aestival,,0.1594,,,,entire,pointed,shorter than broad,cuneate,petiolate,0.149,320.0,,,,,,,
227,Valeriana dioica,,,,,1.533333302,01-Oct,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
228,Carex arenaria,,,,,1.566180527,01-Oct,,46.22025561,23.18994279,,,,,,,simple,,,06-Dec,,20-30,,evergreen,,0.138439688,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
229,Luzula campestris,,,,,1.582916677,01-Oct,,44.722,14.39501105,,,,,,,simple,,0.2-0.5,02-Jun,,3.167,,evergreen,,0.0145,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
